TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,PTS,REB,AST
1610612737,Atlanta Hawks,82,41,41,0.5,118.4,44.4,25.0
1610612738,Boston Celtics,82,57,25,0.695,117.9,45.3,26.7
1610612751,Brooklyn Nets,82,45,37,0.549,113.4,40.5,25.5
1610612766,Charlotte Hornets,82,27,55,0.329,111.0,44.5,25.1
1610612741,Chicago Bulls,82,40,42,0.488,113.1,42.4,24.5
1610612739,Cleveland Cavaliers,82,51,31,0.622,112.3,41.1,24.9
1610612742,Dallas Mavericks,82,38,44,0.463,114.2,38.8,22.9
1610612743,Denver Nuggets,82,53,29,0.646,115.8,43.0,28.9
1610612765,Detroit Pistons,82,17,65,0.207,110.3,42.4,23.0
1610612744,Golden State Warriors,82,44,38,0.537,118.9,44.6,29.8
1610612745,Houston Rockets,82,22,60,0.268,110.7,46.3,22.4
1610612754,Indiana Pacers,82,35,47,0.427,116.3,41.5,27.0
1610612746,LA Clippers,82,44,38,0.537,113.6,43.2,23.9
1610612747,Los Angeles Lakers,82,43,39,0.524,117.2,45.7,25.3
1610612763,Memphis Grizzlies,82,51,31,0.622,116.9,46.6,26.0
1610612748,Miami Heat,82,44,38,0.537,109.5,40.6,23.8
1610612749,Milwaukee Bucks,82,58,24,0.707,116.9,48.6,25.8
1610612750,Minnesota Timberwolves,82,42,40,0.512,115.8,41.9,26.2
1610612740,New Orleans Pelicans,82,42,40,0.512,114.4,43.7,25.9
1610612752,New York Knicks,82,47,35,0.573,116.0,46.6,22.9
1610612760,Oklahoma City Thunder,82,40,42,0.488,117.5,43.7,24.4
1610612753,Orlando Magic,82,34,48,0.415,111.4,43.2,23.2
1610612755,Philadelphia 76ers,82,54,28,0.659,115.2,40.9,25.2
1610612756,Phoenix Suns,82,45,37,0.549,113.6,44.2,27.3
1610612757,Portland Trail Blazers,82,33,49,0.402,113.4,40.5,24.2
1610612758,Sacramento Kings,82,48,34,0.585,120.7,42.5,27.3
1610612759,San Antonio Spurs,82,22,60,0.268,113.0,43.7,27.2
1610612761,Toronto Raptors,82,41,41,0.5,112.9,43.0,23.9
1610612762,Utah Jazz,82,37,45,0.451,117.1,45.9,26.0
1610612764,Washington Wizards,82,35,47,0.427,113.2,43.6,25.4
